id;disc_number;duration_ms;explicit;href;id_spotify;is_playable;name;preview_url;track_number;uri;is_local
1;29321;16737;false;El Salvador engineer;Soft Sleek Rubber Keyboard;false;Malagasy Ariary Technician;Open-source background;50451;zero defect help-desk generating;true
2;70212;61827;false;Rustic Plastic Computer Balanced Keyboard;Fantastic Plastic Chair backing up redefine;true;Handmade;online;17353;Home Loan Account Home Loan Account Avon;true
3;1987;30524;true;infrastructure Investment Account Ergonomic;Reunion;false;revolutionary array;Keyboard Managed quantifying;97427;Virtual Dong;false
4;6590;47924;true;Berkshire payment;Specialist e-commerce Frozen;false;Awesome Bahamas Clothing;optimizing client-server Concrete;89547;end-to-end;false
5;33630;70110;true;microchip Intelligent;back-end;true;national driver;deposit;65705;Ball lime action-items;true
6;56052;29512;false;Ukraine Tonga;Supervisor;true;Home back up;scalable Road;10052;maximized;true
7;94732;10395;true;reintermediate Credit Card Account;Health magnetic Orchestrator;true;Tasty Plastic;Facilitator Money Market Account lavender;16673;Product Senior;false
8;29858;57213;false;exploit Ameliorated generating;quantifying Upgradable Assistant;true;budgetary management Soap;internet solution Communications Handmade Fresh Keyboard;51077;Monitored;true
9;58951;65745;false;Intelligent Rubber Chicken interface;lime;false;Parkways Congo Checking Account;Sleek Plastic Salad Dynamic;77809;back-end COM HTTP;true
10;1810;91768;true;compress gold;Steel;true;Libyan Arab Jamahiriya;Cyprus;15786;mesh Stravenue;true
